name	logFC	ave_exp	P.Value_reg1__vs__NT	minus_log_pval	TFDatabase
FAM120B	-0.227632291	23.24112997	0.719378011	0.14304284125661312	absent
RPL8	-0.231200417	32.36980837	0.107828582	0.9672661059434747	absent
MPHOSPH6	-0.231744682	23.87938506	0.66383491	0.1779399124852572	absent
API5	-0.232592604	29.18734152	0.135813703	0.8670564094586559	absent
ZNF598	-0.233423259	25.07672672	0.553508284	0.2568758749323844	absent
PCGF3	-0.234118816	23.67542917	0.72402384	0.1402471335128116	absent
EPB41L2	-0.234382141	28.44786256	0.509840873	0.29256535088556124	absent
CEP97	-0.234590116	22.36881676	0.594537517	0.22582073496961913	absent
CREB1	-0.237814617	26.04094624	0.577945868	0.2381128368905947	absent
NKTR	-0.238633276	25.97528616	0.570241955	0.24394083305482606	absent
POM121C	-0.239871709	28.85362548	0.2130314	0.6715563785252374	absent
PDS5A	-0.240007248	29.34616261	0.124982789	0.90314978824762	absent
TMEM194A	-0.240236853	23.29572058	0.690843458	0.16062035064141375	absent
FAM208B	-0.241182037	27.85055157	0.341937583	0.4660531624602501	absent
ZCCHC9	-0.241307796	25.87243199	0.487778885	0.3117770033795269	absent
EIF3E	-0.241638454	27.66748774	0.276411216	0.5584443384755493	absent
PI4KA	-0.242042513	27.13436267	0.458115973	0.3390245655371164	absent
YY1	-0.245099174	26.7928375	0.291550402	0.5352863554219409	absent
NUCKS1	-0.246263711	22.27693157	0.593377779	0.22666872131270044	absent
NFIC	-0.247473625	23.12644734	0.768682598	0.11425295069620753	absent
GDI2	-0.248679631	23.53333002	0.525004428	0.27983703364574575	absent
TIAL1	-0.248846791	29.82230486	0.072097605	1.1420791618070623	absent
CWC27	-0.249167346	23.33089273	0.541123658	0.26670347823846347	absent
ATP2A2	-0.249505023	24.31653488	0.503626392	0.29789151923209223	absent
PRPF40A	-0.250360768	29.12454555	0.105157121	0.9781613125516877	absent
CHTOP	-0.250387722	29.34719283	0.379060473	0.4212914998072153	absent
PRDX1	-0.250874666	28.50216971	0.075076842	1.1244940036428408	absent
HNRNPDL	-0.251794366	32.45202524	0.037530934	1.4256106275400549	absent
CWC22	-0.252696033	28.30729753	0.238561635	0.6223993974111819	absent
MED17	-0.252925472	24.79684644	0.528603084	0.2768703074164252	absent
HNRNPH1	-0.253131777	33.41802065	0.027898177	1.5544241746729004	absent
NIPBL	-0.255575942	28.40091407	0.098084231	1.0084008085238576	absent
CEBPZ	-0.255984655	31.43290694	0.126020182	0.8995598975066511	absent
PPFIA1	-0.257062881	24.55249856	0.649352789	0.18751928981244514	absent
UBR4	-0.25716442900000003	23.37540424	0.624568345	0.204420030897052	absent
TCERG1	-0.257716069	27.37379033	0.255615002	0.5924136610980535	absent
CELF1	-0.258451465	28.36589285	0.072027525	1.142501508134735	absent
DSP	-0.259663505	31.83600599	0.147451285	0.8313514383310537	absent
RBM26	-0.259978996	29.07674417	0.067813036	1.1686868117573144	absent
DDX54	-0.26060022	30.97741202	0.06997822	1.1550371086380433	absent
